Time,Time Code,Country Name,Country Code,"Intentional homicides (per 100,000 people) [VC.IHR.PSRC.P5]",General government final consumption expenditure (% of GDP) [NE.CON.GOVT.ZS],"Community health workers (per 1,000 people) [SH.MED.CMHW.P3]","School enrollment, tertiary (% gross) [SE.TER.ENRR]","School enrollment, secondary (% gross) [SE.SEC.ENRR]","Unemployment, total (% of total labor force) (national estimate) [SL.UEM.TOTL.NE.ZS]","Unemployment, youth total (% of total labor force ages 15-24) (national estimate) [SL.UEM.1524.NE.ZS]",Gross capital formation (% of GDP) [NE.GDI.TOTL.ZS],Gross domestic savings (% of GDP) [NY.GDS.TOTL.ZS],"Government expenditure per student, tertiary (% of GDP per capita) [SE.XPD.TERT.PC.ZS]","Government expenditure per student, secondary (% of GDP per capita) [SE.XPD.SECO.PC.ZS]","Government expenditure on education, total (% of GDP) [SE.XPD.TOTL.GD.ZS]","Life expectancy at birth, total (years) [SP.DYN.LE00.IN]","Age dependency ratio, young (% of working-age population) [SP.POP.DPND.YG]","GDP per capita, PPP (constant 2021 international $) [NY.GDP.PCAP.PP.KD]",GDP per capita (constant 2015 US$) [NY.GDP.PCAP.KD],"Foreign direct investment, net inflows (% of GDP) [BX.KLT.DINV.WD.GD.ZS]",GDP per capita growth (annual %) [NY.GDP.PCAP.KD.ZG],Market capitalization of listed domestic companies (% of GDP) [CM.MKT.LCAP.GD.ZS],Trade (% of GDP) [NE.TRD.GNFS.ZS],"Inflation, consumer prices (annual %) [FP.CPI.TOTL.ZG]",Net migration [SM.POP.NETM],Strength of legal rights index (0=weak to 12=strong) [IC.LGL.CRED.XQ],"Mortality rate, under-5 (per 1,000 live births) [SH.DYN.MORT]",Gini index [SI.POV.GINI],Net primary income (Net income from abroad) (constant LCU) [NY.GSR.NFCY.KN],Population growth (annual %) [SP.POP.GROW],"Secondary education, teachers [SE.SEC.TCHR]",Lending interest rate (%) [FR.INR.LEND]
2005,YR2005,Bolivia,BOL,..,15.9745575009633,..,..,87.4255523681641,5.45,..,14.2536216336637,17.7079662634327,..,..,6.71352529525757,64.386,62.886841867441,6567.64163149633,2152.36196979617,-2.49886824544741,2.62741194852624,..,67.6419413613743,5.39323106890663,-14657,..,56.5,58.5,..,1.7329882488039,..,16.6150416666667
2005,YR2005,Bosnia and Herzegovina,BIH,..,21.6563079324931,..,24.6647491455078,..,..,..,28.7397822003268,-14.4291185754979,..,..,..,75.42,23.9690152631789,9955.19493423194,3218.59420346468,5.55844401745043,5.12951620444926,..,84.3554628217984,..,-37107,..,7.5,..,..,-1.17913407901923,..,9.6125
2005,YR2005,Botswana,BWA,15.3739921714153,19.4007450572658,0.494,9.04421997070312,77.1164703369141,..,..,25.374133887578,42.4925145913255,262.54747,43.55359,10.6785898208618,52.61,60.3410935232149,13960.372244583,5360.01917590494,4.24294905100869,2.69387823705134,..,88.5053520573505,8.6102252854644,4771,..,69.4,..,..,1.79764812587178,12559,15.7375
2005,YR2005,Brazil,BRA,25.4784150866907,18.8900014193292,..,..,..,10.551,21.346,17.2048834502888,20.6057467700246,34.63414,13.00607,4.47908020019531,71.753,40.6633344625269,15049.1448632499,7325.90355034829,1.73389354610707,2.05557150146443,53.2333855877652,27.0867952055794,6.86953720898964,-42926,..,24.7,56.3,..,1.11720287765336,1611582,55.3833333333333
2005,YR2005,Brunei Darussalam,BRN,0.54537893610204,18.408700104511,..,13.1851100921631,82.2528686523438,..,..,11.3667044608845,59.1302372785632,..,..,..,74.731,42.9789650922039,91712.6135128198,34290.1107712521,1.83675167028945,-1.32505109993116,..,97.4576166216243,1.24443711883965,1163,..,9.5,..,..,1.72066656308508,4350,5.5
2005,YR2005,Bulgaria,BGR,2.54631298677843,18.1535666491695,..,46.225269317627,91.3667678833008,10.083,22.346,27.7396716608631,13.0845919496763,22.47607,21.24879,4.10879993438721,72.5609756097561,20.0205362444547,17822.8883379136,5236.08637234369,13.7204790059912,7.86550231261518,17.0266103826171,99.7142112127381,5.03883807111902,-3832,..,13.3,..,..,-0.752977445493645,57253,8.66098333333333
2005,YR2005,Burkina Faso,BFA,0.469380905212251,13.7928275192666,..,2.16083002090454,13.4484701156616,4,..,17.5635935306702,3.07511872183235,203.87723,20.79333,3.94113993644714,53.092,87.8680645633796,1667.15432034947,501.207250155342,0.84814587465402,5.29343297349088,..,34.1721697681049,6.41504018369684,9794,..,152.2,..,..,3.14899280596388,..,8.86833333333333
2005,YR2005,Burundi,BDI,..,14.099999668941,..,2.18656992912292,13.2845802307129,..,..,18.2,-4.49639311264943,242.08341,51.76177,3.632159948349,53.023,87.7251933351935,963.581427276904,294.738773386661,0.0523404213217611,-2.76488049377727,..,35.0999988412936,13.2520699188224,17913,..,124.3,..,..,3.69979693670807,7498,18.445
2005,YR2005,Cabo Verde,CPV,8.92807321020032,..,..,7.11931991577148,70.5629425048828,..,..,..,..,69.9513,..,..,72.68,64.6367404145976,5478.67360610594,2474.82485473499,8.28122711096811,5.55790273298587,..,104.343839857053,0.41889161285517,-3673,..,27.1,..,..,1.27507062329957,2241,..
2005,YR2005,Cambodia,KHM,3.38200424969971,4.07010374514937,..,3.83043003082275,..,..,..,20.2346788926218,11.6356627580207,..,..,..,64.293,58.22373309854,2277.895960631,697.746758228193,6.0253839055628,11.2819167831565,..,136.831930063269,6.61525912001587,-11435,..,64.7,..,..,1.75317594902836,..,..
